List of Creatures by Experience to Hit Points Ratio (1896)
Name		Exp	HP	Exp/HP Ratio
Uninvited	Uninvited	2,000	4,700	0.426
Memory of a Carnisylvan	Memory of a Carnisylvan	1,850	3,800	0.487
Memory of a Werelion	Memory of a Werelion	1,800	3,880	0.464
Memory of a Manticore	Memory of a Manticore	1,590	3,730	0.426
Pig (Nostalgia)	Pig (Nostalgia)	0	25	0
Memory of a Book	Memory of a Book	1,770	3,670	0.482
Memory of a Faun	Memory of a Faun	1,600	3,500	0.457
Memory of a Shaper	Memory of a Shaper	1,750	3,710	0.472
Memory of an Ogre	Memory of an Ogre	1,680	3,570	0.471
Memory of a Golem	Memory of a Golem	1,620	3,660	0.443
Memory of a Frazzlemaw	Memory of a Frazzlemaw	1,810	3,770	0.48
Memory of a Fungus	Memory of a Fungus	1,660	3,580	0.464
Memory of an Insectoid	Memory of an Insectoid	1,610	3,630	0.444
Memory of a Lizard	Memory of a Lizard	1,450	3,520	0.412
Memory of a Vampire	Memory of a Vampire	1,550	3,650	0.425
Memory of a Yalahari	Memory of a Yalahari	1,640	3,540	0.463
Memory of a Mammoth	Memory of a Mammoth	1,830	3,850	0.475
Memory of a Pirate	Memory of a Pirate	1,500	3,750	0.4
Memory of a Hydra	Memory of a Hydra	1,800	3,550	0.507
Memory of a Scarab	Memory of a Scarab	1,590	3,620	0.439
Memory of an Amazon	Memory of an Amazon	1,480	3,600	0.411
Memory of a Banshee	Memory of a Banshee	1,430	3,600	0.397
Memory of a Hero	Memory of a Hero	1,750	3,850	0.455
Memory of an Elf	Memory of an Elf	1,440	3,440	0.419
Memory of a Dwarf	Memory of a Dwarf	1,460	3,730	0.391
Memory of a Wolf	Memory of a Wolf	1,640	3,640	0.451
Lucky Dragon	Lucky Dragon		?	?
Minor Timedisplaced Anomaly (Rookgaard)	Minor Timedisplaced Anomaly (Rookgaard)	0	40,000	0
Enraged Morshabaal	Enraged Morshabaal	?	1,000,000	?
Furious Morshabaal	Furious Morshabaal	?	1,000,000	?
Streaked Devourer	Streaked Devourer	6,300	7,000	0.9
Minor Timedisplaced Anomaly (Greenshore)	Minor Timedisplaced Anomaly (Greenshore)	0	44,000	0
Minor Timedisplaced Anomaly (Ankrahmun)	Minor Timedisplaced Anomaly (Ankrahmun)	0	48,000	0
Timedisplaced Anomaly (Banuta)	Timedisplaced Anomaly (Banuta)	0	52,500	0
Timedisplaced Anomaly (Chazorai)	Timedisplaced Anomaly (Chazorai)	0	56,000	0
Timedisplaced Anomaly (Warzone)	Timedisplaced Anomaly (Warzone)	0	60,000	0
Major Timedisplaced Anomaly (Rascacoon)	Major Timedisplaced Anomaly (Rascacoon)	0	65,000	0
Major Timedisplaced Anomaly (Issavi)	Major Timedisplaced Anomaly (Issavi)	0	70,000	0
Major Timedisplaced Anomaly (Fiehonja)	Major Timedisplaced Anomaly (Fiehonja)	0	75,000	0
Great Timedisplaced Anomaly	Great Timedisplaced Anomaly	0	250,000	0
Wilting Leaf Golem	Wilting Leaf Golem	145	380	0.382
Parcel Castle	Parcel Castle	?	?	?
Time Distortion	Time Distortion	?	?	?
Minor Bug	Minor Bug	?	?	?
Major Bug	Major Bug	?	?	?
Toxic Tibia Troll	Toxic Tibia Troll	?	?	?
Orc Musician	Orc Musician	?	?	?
Pirat Scoundrel	Pirat Scoundrel	1,600	2,200	0.727
Preceptor Lazare	Preceptor Lazare	10,000	16,000?	?
Symbol of Pain	Symbol of Pain	--	--	?
Naga Archer	Naga Archer	5,150	4,640	1.11
Naga Warrior	Naga Warrior	5,890	5,530	1.065
Parder	Parder	1,100	1,200	0.917
Makara	Makara	5,720	5,050	1.133
Foam Stalker	Foam Stalker	3,525	4,500	0.783
Jungle Moa	Jungle Moa	1,200	1,300	0.923
Thorn Steed	Thorn Steed	0	?	?
Tunnel Devourer	Tunnel Devourer	?	?	?
Two-Headed Turtle	Two-Headed Turtle	3,310	5,010	0.661
Mantosaurus	Mantosaurus	11,569	19,400	0.596
Stalking Stalk	Stalking Stalk	11,569	17,100	0.677
Undertaker	Undertaker	13,543	20,100	0.674
Sulphider	Sulphider	13,328	21,000	0.635
Noxious Ripptor	Noxious Ripptor	13,190	22,700	0.581
Hulking Prehemoth	Hulking Prehemoth	12,690	20,700	0.613
Nighthunter	Nighthunter	12,647	19,200	0.659
Gore Horn	Gore Horn	12,595	20,620	0.611
Mercurial Menace	Mercurial Menace	12,095	18,500	0.654
Emerald Tortoise	Emerald Tortoise	12,129	22,300	0.544
Gorerilla	Gorerilla	13,172	16,850	0.782
Shrieking Cry-Stal	Shrieking Cry-Stal	13,560	20,650	0.657
Sulphur Spouter	Sulphur Spouter	11,517	19,000	0.606
Plunder Patriarch	Plunder Patriarch	0	?	?
Headpecker	Headpecker	12,026	16,300	0.738
Fungosaurus	Fungosaurus	0	30,000	0
Timira the Many-Headed	Timira the Many-Headed	45,500	75,000	0.607
The End of Days	The End of Days	0	90,000	0
Kusuma	Kusuma	9,380	7,650	1.226
The Primal Menace	The Primal Menace	0		?
Magma Bubble	Magma Bubble	80,000	?	?
The Winter Bloom	The Winter Bloom	9,250	4,750	1.947
The Moonlight Aster	The Moonlight Aster	9,250	4,500	2.056
Rogue Naga	Rogue Naga	4,510	6,200	0.727
Corrupt Naga	Corrupt Naga	4,380	5,990	0.731
Cave Hydra	Cave Hydra	2,100	2,350	0.894
Vicious Lich	Vicious Lich	900	880	1.023
Sharpclaw	Sharpclaw	3,000	3,300	0.909
Magma Crystal	Magma Crystal	?	?	?
Lava Creature	Lava Creature	0	?	?
Giant Beaver	Giant Beaver	?	?	?
Lava Puddle (Creature)	Lava Puddle (Creature)	?	6,000	?
Lesser Magma Crystal	Lesser Magma Crystal	?	15,000	?
Blocking Stalagmite	Blocking Stalagmite	?	10,500	?
Venerable Foam Stalker	Venerable Foam Stalker	3,740	5,650	0.662
Greater Energy Elemental	Greater Energy Elemental	950	1,100	0.864
Greater Fire Elemental	Greater Fire Elemental	1,400	1,800	0.778
Vile Destroyer	Vile Destroyer	2,500	3,700	0.676
Solitary Frost Dragon	Solitary Frost Dragon	2,100	1,800	1.167
Toxic Swarm	Toxic Swarm	0		?
Hungry Menace	Hungry Menace	0		?
Unchained Fire	Unchained Fire	0	?	?
Primal Pack Beast (Sulphider)	Primal Pack Beast (Sulphider)	0	?	?
Pirat Artillerist	Pirat Artillerist	?	?	?
Tibianus (Creature)	Tibianus (Creature)	?	?	?
Primal Pack Beast (Nighthunter)	Primal Pack Beast (Nighthunter)	0	?	?
Primal Pack Beast (Mantosaurus)	Primal Pack Beast (Mantosaurus)	0	?	?
Primal Pack Beast (Noxious Ripptor)	Primal Pack Beast (Noxious Ripptor)	0	?	?
Primal Pack Beast (Emerald Tortoise)	Primal Pack Beast (Emerald Tortoise)	0	?	?
Primal Pack Beast (Gore Horn)	Primal Pack Beast (Gore Horn)	0	?	?
Primal Pack Beast (Gorerilla)	Primal Pack Beast (Gorerilla)	0	?	?
Primal Pack Beast (Headpecker)	Primal Pack Beast (Headpecker)	0	?	?
Primal Pack Beast (Hulking Prehemoth)	Primal Pack Beast (Hulking Prehemoth)	0	?	?
Primal Pack Beast (Sabretooth)	Primal Pack Beast (Sabretooth)	0	?	?
Primal Pack Beast (Stalking Stalk)	Primal Pack Beast (Stalking Stalk)	0	?	?
Allusion	Allusion	?	?	?
Dorokoll the Mystic	Dorokoll the Mystic	50,000	?	?
Eshtaba the Conjurer	Eshtaba the Conjurer	50,000	?	?
Malkhar Deathbringer	Malkhar Deathbringer	50,000	?	?
Eliz the Unyielding	Eliz the Unyielding	50,000	?	?
Morguthis	Morguthis	3,000	4,800	0.625
Hard Times	Hard Times	?	?	?
Blissful Times	Blissful Times	?	?	?
Pillar (Zugurosh)	Pillar (Zugurosh)	0	120	0
Sulphur Menace	Sulphur Menace	?	?	?
The Diamond Blossom	The Diamond Blossom	10,000	20,000	0.5
Necromantic Focus	Necromantic Focus	?	?	?
Sulphur Geysir	Sulphur Geysir	--	--	?
Rampaging Beer Elemental	Rampaging Beer Elemental	?	?	?
Elite Pirat	Elite Pirat	?	?	?
Rateye Ric	Rateye Ric	?	?	?
Mister Catkiller	Mister Catkiller	?	?	?
1st Mate Ratticus	1st Mate Ratticus	?	?	?
Harpy	Harpy	5,720	7,700	0.743
Iks Chuka	Iks Chuka	1,310	1,240	1.056
Iks Pututu	Iks Pututu	1,390	1,310	1.061
Iks Ahpututu	Iks Ahpututu	1,700	1,630	1.043
Boar Man	Boar Man	7,100	9,200	0.772
Carnivostrich	Carnivostrich	6,710	8,250	0.813
Liodile	Liodile	6,310	8,600	0.734
Crape Man	Crape Man	5,040	9,150	0.551
Rhindeer	Rhindeer	5,600	8,650	0.647
Iks Aucar	Iks Aucar	1,240	1,520	0.816
The Monster	The Monster	30,000	45,000	0.667
Ahau	Ahau	17,500	9,000	1.944
Cursed Ape	Cursed Ape	2,000	1,700	1.176
Iks Churrascan	Iks Churrascan	0	1,520	0
Doctor Marrow	Doctor Marrow	?	?	?
Negative Spark	Negative Spark	?	?	?
Positive Spark	Positive Spark	?	?	?
Dangerous Apparatus	Dangerous Apparatus			?
Strange Machine (Creature)	Strange Machine (Creature)	?	?	?
Black Mutagen	Black Mutagen	?	?	?
Yellow Mutagen	Yellow Mutagen	?	?	?
Blue Mutagen	Blue Mutagen	?	?	?
Purple Mutagen	Purple Mutagen	?	?	?
Green Mutagen	Green Mutagen	?	?	?
Red Mutagen	Red Mutagen	?	?	?
Blue Collector Unit	Blue Collector Unit	?	?	?
Green Collector Unit	Green Collector Unit	?	?	?
Red Collector Unit	Red Collector Unit	?	?	?
Blue Tube	Blue Tube	?	?	?
Green Tube	Green Tube	?	?	?
Red Tube	Red Tube	?	?	?
The Collection Container	The Collection Container	?	?	?
Blue Container	Blue Container	?	?	?
Green Container	Green Container	?	?	?
Red Container	Red Container	?	?	?
Lab Assistant	Lab Assistant	0	4,000	0
Benevolent Iks Spirit	Benevolent Iks Spirit	?	?	?
Gnomish Explorer	Gnomish Explorer	0	?	?
Gnorre Chyllson	Gnorre Chyllson	4,000	7,150	0.559
Lavaling	Lavaling	0	?	?
Fireling	Fireling	0	?	?
Basaltwall	Basaltwall	0	?	?
Instable Lavaling	Instable Lavaling	0	?	?
Deadly Heat	Deadly Heat	0	?	?
Magmaoid	Magmaoid	0	?	?
Blasting Flame	Blasting Flame	0	?	?
Massive Magmaoid	Massive Magmaoid	0	?	?
Banshee	Banshee	900	1,000	0.9
Princess Lumelia	Princess Lumelia	?	?	?
Abominable Servant	Abominable Servant	?	?	?
Abomination Cultist	Abomination Cultist	0	?	?
The Abomination	The Abomination	1,500,000?	750,000?	?
Spoiler	Spoiler	?	?	?
Festival Cake (Creature)	Festival Cake (Creature)	?	?	?
Bot (Creature)	Bot (Creature)	?	?	?
Font of Refreshment	Font of Refreshment	?	?	?
Ice Barricade	Ice Barricade	0	?	?
Hazard Golem	Hazard Golem	0	?	?
Guardian Golem	Guardian Golem	0	2,500	0
Ashes of Burning Hatred	Ashes of Burning Hatred	0	?	?
Spark of Burning Hatred	Spark of Burning Hatred	0	?	?
Flame of Burning Hatred	Flame of Burning Hatred	0	?	?
Blaze of Burning Hatred	Blaze of Burning Hatred	0	?	?
Clutter	Clutter	0	1,000	0
Faun	Faun	800	900	0.889
Smelly Cheese	Smelly Cheese	?	?	?
Darklight Striker	Darklight Striker	22,200	29,700	0.747
Bakragore	Bakragore	15,000,000	660,000	22.727
Chagorz	Chagorz	3,250,000	?	?
Vemiath	Vemiath	3,250,000	?	?
Ichgahal	Ichgahal	3,250,000	?	?
Murcion	Murcion	3,250,000	?	?
Bloated Man-Maggot	Bloated Man-Maggot	21,570	31,700	0.68
Converter	Converter	21,425	29,600	0.724
Darklight Construct	Darklight Construct	22,050	32,200	0.685
Darklight Emitter	Darklight Emitter	20,600	27,500	0.749
Darklight Matter	Darklight Matter	22,250	30,150	0.738
Darklight Source	Darklight Source	22,465	31,550	0.712
Meandering Mushroom	Meandering Mushroom	21,980	29,100	0.755
Mycobiontic Beetle	Mycobiontic Beetle	21,175	30,200	0.701
Oozing Carcass	Oozing Carcass	20,980	27,500	0.763
Oozing Corpus	Oozing Corpus	20,600	28,700	0.718
Rotten Man-Maggot	Rotten Man-Maggot	22,625	31,100	0.727
Sopping Carcass	Sopping Carcass	23,425	32,700	0.716
Sopping Corpus	Sopping Corpus	22,465	33,400	0.673
Walking Pillar	Walking Pillar	24,300	38,000	0.639
Wandering Pillar	Wandering Pillar	23,200	37,000	0.627
Cunning Werepanther	Cunning Werepanther	3,620	4,300	0.842
Werepanther	Werepanther	3,550	4,200	0.845
Feral Werecrocodile	Feral Werecrocodile	5,430	6,400	0.848
Werecrocodile	Werecrocodile	4,140	5,280	0.784
White Weretiger	White Weretiger	5,200	6,100	0.852
Weretiger	Weretiger	3,920	5,000	0.784
White Tiger	White Tiger	40	75	0.533
Bloodjaw	Bloodjaw	24,000	40,000	0.6
Elder Bloodjaw	Elder Bloodjaw	?	86,000	?
Pillar of Dark Energy	Pillar of Dark Energy	?	37,500	?
Ayana the Crimson Curse	Ayana the Crimson Curse	12,400	17,000	0.729
Foxmouse	Foxmouse	?	?	?
Mushroom	Mushroom	?	10,000	?
Echo of Murcion	Echo of Murcion	?	?	?
Echo of Chagorz	Echo of Chagorz	?	?	?
Echo of Ichgahal	Echo of Ichgahal	?	?	?
Echo of Vemiath	Echo of Vemiath	?	?	?
Decaying Totem	Decaying Totem	?	?	?
Urmahlullu the Weakened	Urmahlullu the Weakened	?	?	?
Tamru the Black	Tamru the Black	11,200	15,500	0.723
Radicular Totem	Radicular Totem	0	50,000	0
Brokul	Brokul	23,000	50,000	0.46
Werelion	Werelion	2,200	2,800	0.786
Excess Heat	Excess Heat	0	?	?
Wailing Widow	Wailing Widow	450	850	0.529
The Scourge of Oblivion (Charging)	The Scourge of Oblivion (Charging)	?	?	?
The Scourge of Oblivion (Reflective)	The Scourge of Oblivion (Reflective)	?	?	?
Soul Cage	Soul Cage	0	?	?
Community Manager (Creature)	Community Manager (Creature)	?	?	?
Captured Beer	Captured Beer	?	?	?
Strong Orger Beer	Strong Orger Beer	?	?	?
Orc Cook	Orc Cook	?	?	?
Megasylvan Sapling (Creature)	Megasylvan Sapling (Creature)	0	?	?
Mindmasher (Weak)	Mindmasher (Weak)	0	?	?
Minion of Skyrr	Minion of Skyrr	?	?	?
Weak Spot	Weak Spot	?	?	?
Rum Barrel	Rum Barrel	?	?	?
The Spellstealer (Creator)	The Spellstealer (Creator)	?	?	?
The Spellstealer (Destructor)	The Spellstealer (Destructor)	?	?	?
Albino Dragon	Albino Dragon	2,250	5,000	0.45
Iks Yapunac	Iks Yapunac	2,340	3,125	0.749
Bulltaur Brute	Bulltaur Brute	4,700	6,560	0.716
Atab	Atab	6,800	8,100	0.84
Mitmah Vanguard	Mitmah Vanguard	300,000	65,000	4.615
Despor	Despor		50,000	?
Bulltaur Alchemist	Bulltaur Alchemist	4,500	5,690	0.791
Bulltaur Forgepriest	Bulltaur Forgepriest	6,400	6,840	0.936
Dragolisk	Dragolisk	5,050	6,180	0.817
Wardragon	Wardragon	5,810	6,960	0.835
Mitmah Scout	Mitmah Scout	3,230	3,940	0.82
Mitmah Seer	Mitmah Seer	4,580	4,620	0.991
Mega Dragon	Mega Dragon	7,810	7,920	0.986
Titano Dragon	Titano Dragon			?
Pirate Ship	Pirate Ship			?
Cellar Rat	Cellar Rat	0	1,800	0
Greedok	Greedok		50,000	?
Vengar	Vengar		50,000	?
Crultor	Crultor		50,000	?
Maliz	Maliz		50,000	?
Vilear	Vilear		50,000	?
Bruton	Bruton		50,000	?
Mystic Jaguar	Mystic Jaguar			?
Ritualwater	Ritualwater	?	?	?
Ancient Ugly Monster	Ancient Ugly Monster	?	10,000	?
Dragon Hoard	Dragon Hoard	600,000	50,000	12
Sabretooth (Creature)	Sabretooth (Creature)	11,931	17,300	0.69
Rabid Wolf	Rabid Wolf	90	75	1.2
Ragged Rabid Wolf	Ragged Rabid Wolf	126	120	1.05
Trollwut	Trollwut	250	280	0.893
Captain Jones	Captain Jones	620	555	1.117
Gorga	Gorga	13,000	15,000	0.867
